,날짜,전체도시이름,도단위이름,시군구이름,최소기온,최대기온,오전날씨,오전비확률,오후날씨,오후비확률,관광지수,관광지표
492,2023-04-27,전북 임실군,전북,임실군,5.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
493,2023-04-27,경기 안성시,경기,안성시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
494,2023-04-27,인천 중구,인천,중구,10.0,18.0,구름많음,30%,흐림,40%,-0.53,나쁨
495,2023-04-27,서울 성북구,서울,성북구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
496,2023-04-27,경기 안양시,경기,안양시,9.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
497,2023-04-27,전북 장수군,전북,장수군,4.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
498,2023-04-27,서울 송파구,서울,송파구,9.0,21.0,구름많음,30%,흐림,40%,-0.31,나쁨
499,2023-04-27,충남 금산군,충남,금산군,5.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
500,2023-04-27,전북 진안군,전북,진안군,4.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
501,2023-04-27,전북 완주군,전북,완주군,8.0,24.0,구름많음,30%,흐림,40%,-0.35,나쁨
502,2023-04-27,경기 군포시,경기,군포시,8.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
503,2023-04-27,대구 수성구,대구,수성구,10.0,23.0,구름많음,30%,흐림,40%,-0.14,보통
504,2023-04-27,충남 공주시,충남,공주시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
505,2023-04-27,전북 부안군,전북,부안군,8.0,22.0,구름많음,30%,흐림,40%,-0.37,나쁨
506,2023-04-27,서울 종로구,서울,종로구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
507,2023-04-27,경기 김포시,경기,김포시,8.0,20.0,구름많음,30%,흐림,40%,-0.37,나쁨
508,2023-04-27,경기 성남시,경기,성남시,7.0,23.0,구름많음,30%,흐림,40%,-0.31,나쁨
509,2023-04-27,충남 계룡시,충남,계룡시,4.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
510,2023-04-27,전북 순창군,전북,순창군,6.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
511,2023-04-27,경기 남양주시,경기,남양주시,5.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
512,2023-04-27,경기 동두천시,경기,동두천시,6.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
513,2023-04-27,제주 서귀포시,제주,서귀포시,13.0,22.0,구름많음,30%,흐림,40%,-0.05,보통
514,2023-04-27,서울 용산구,서울,용산구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
